bucket_owner,bucket,original_timestamp,request_datetime_(UTC+0),remote_ip,requester,request_id,operation,key,request_uri,http_status_code,error_code,bytes_sent,object_size,total_time,turn_around_time,referer,user_agent,version_id,host_id,signature_version,cipher_suite,authentication_type,host_header,tls_version,dash1,dash2,sourceFile
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:10:56:54 +0000],2025-10-01 10:56:54,222.99.52.250,5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,44G4ZCNR068B83HV,REST.GET.OBJECT_LOCK_CONFIGURATION,-,GET /plainbit-s3?object-lock HTTP/1.1,404,ObjectLockConfigurationNotFoundError,346,-,10,-,https://ap-northeast-2.console.aws.amazon.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",-,VCNPTQQIeG7oMbPwn1h5Gad6Trfdnb89B3aWsxTmHdBGSvJc8+V4i5R3SXyziLJ1TDUcnAyt2EU=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-044DBBDE278C54A0
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:10:57:03 +0000],2025-10-01 10:57:03,222.99.52.250,5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,E8GE3WTXRCTJ7NB4,REST.GET.VERSIONING,-,GET /plainbit-s3?versioning HTTP/1.1,200,-,162,-,6,-,https://ap-northeast-2.console.aws.amazon.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",-,ihHYBxAhBI2ABh/YWmEKRARFvnVOPkmyGIHQOSWG2TAZeLMnBiZMh57Ias9Ya1rmwu6nfLAttkY=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-044DBBDE278C54A0
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:50:09 +0000],2025-10-01 12:50:09,-,svc:cloudtrail.amazonaws.com,369V684MBSA10XZ0,REST.GET.ACL,-,GET /?acl HTTP/1.1,200,-,480,-,24,-,-,-,-,VM/AyeYqnN4hgvFZ3CIM3R1N207aR3D/LrvyUSh6fX2yDPWwDRboJpxa7+3i+JmpoM1ZmEqgFgh8Tjyu4QI2xLLqJ72KsDmR,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-04D52CE64B48C078
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:50:10 +0000],2025-10-01 12:50:10,-,svc:cloudtrail.amazonaws.com,S8499K7NMSF6MRBT,REST.PUT.OBJECT,AWSLogs/231307122651/CloudTrail-Digest/us-east-2/2025/10/01/231307122651_CloudTrail-Digest_us-east-2_PLAINBIT-TRAIL_ap-northeast-2_20251001T122353Z.json.gz,PUT /AWSLogs/231307122651/CloudTrail-Digest/us-east-2/2025/10/01/231307122651_CloudTrail-Digest_us-east-2_PLAINBIT-TRAIL_ap-northeast-2_20251001T122353Z.json.gz HTTP/1.1,200,-,-,348,202,22,-,-,-,NrVnKftygmRF+x5kcqKDHtBiKOGCWdf99e6drEjlUudJnqXjF/6ybQgxrZ1hwjpzeCVtBBjuQsc5AxdAxKgJVvyQg5+T5tvl,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-04D52CE64B48C078
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:50:14 +0000],2025-10-01 12:50:14,-,svc:cloudtrail.amazonaws.com,50AEDKMH58W1JW3F,REST.GET.ACL,-,GET /?acl HTTP/1.1,200,-,480,-,25,-,-,-,-,fWGg6RR2fCizZ9eVnmBean5/DWFWfVtxedWFmECzRwWF13awZ/wvnxL7TrkjEKmDnkVmin2SpL0=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-07CECFDE8C4A7299
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:50:14 +0000],2025-10-01 12:50:14,-,svc:cloudtrail.amazonaws.com,50AFCCVTM1X64FRZ,REST.PUT.OBJECT,AWSLogs/231307122651/CloudTrail-Digest/ca-central-1/2025/10/01/231307122651_CloudTrail-Digest_ca-central-1_PLAINBIT-TRAIL_ap-northeast-2_20251001T122353Z.json.gz,PUT /AWSLogs/231307122651/CloudTrail-Digest/ca-central-1/2025/10/01/231307122651_CloudTrail-Digest_ca-central-1_PLAINBIT-TRAIL_ap-northeast-2_20251001T122353Z.json.gz HTTP/1.1,200,-,-,351,208,19,-,-,-,vU72O+fwae5DaIIiLWvZ4Ahc6LteFF50sexDxHa2zBzHcf7to9bJEP0+5o7avYt43Wggh3Yl7xk=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-07CECFDE8C4A7299
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:23:52 +0000],2025-10-01 12:23:52,-,svc:cloudtrail.amazonaws.com,JFZHCY5PZ5F865SB,REST.PUT.OBJECT,AWSLogs/231307122651/CloudTrail-Digest/,PUT /AWSLogs/231307122651/CloudTrail-Digest/ HTTP/1.1,200,-,-,0,21,17,-,-,-,sxseI+bNo4RJPOev87AUFV/k3w0nfxjFbeZ4mHFkiCoHWSLtM+wrctTcreGzKtLuwhF+xB4RQs0=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-0BDF940617DED6EA
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:23:52 +0000],2025-10-01 12:23:52,-,svc:cloudtrail.amazonaws.com,JFZHYSZVT6CA8HKQ,REST.HEAD.BUCKET,-,HEAD / HTTP/1.1,403,AccessDenied,243,-,29,-,-,-,-,OVacKWluvrCO15WFEmVxipUm0hw4JPZzpMhRA0fmEtsaT3Zfr1Bny8UFfby3WOGDK3YgHNWjRWs=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-0BDF940617DED6EA
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:23:52 +0000],2025-10-01 12:23:52,-,svc:cloudtrail.amazonaws.com,JFZMT74YA2DCS19C,REST.GET.ACL,-,GET /?acl HTTP/1.1,200,-,480,-,7,-,-,-,-,sPNz5Aw5Iceuiwnvan81mTzM9PuqvWbZuI1rKGSaQm2CqcMiNeUzpq59S+OD+xA53Bbk5qo41jk=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-0BDF940617DED6EA
5043e0a2f5c9e33bf501c24bcde8204bf2bf4f8e4be8f9b60878bcce1c01d406,plainbit-s3,[01/Oct/2025:12:23:52 +0000],2025-10-01 12:23:52,-,svc:cloudtrail.amazonaws.com,JFZWB8TC3PXSBHD6,REST.PUT.OBJECT,AWSLogs/231307122651/CloudTrail/,PUT /AWSLogs/231307122651/CloudTrail/ HTTP/1.1,200,-,-,0,28,15,-,-,-,HwVRsNxz+HAVQpESIlY9MUo/a+SAmgaEJ91I3jglC3RsEd5MGLKMfTlkdvHDd4d0FsSaVv5g8xk=,SigV4,TLS_AES_128_GCM_SHA256,AuthHeader,plainbit-s3.s3.ap-northeast-2.amazonaws.com,TLSv1.3,-,-,2025-10-01-00-00-00-0BDF940617DED6EA
